,xaxis,yaxis
0,0.0,-0.37714782382947476
1,0.06666666666666667,13.889171150017404
2,0.13333333333333333,31.466181406606495
3,0.2,41.90792342336538
4,0.26666666666666666,48.56503451911228
5,0.3333333333333333,53.31146526724406
6,0.4,56.937605754425114
7,0.4666666666666667,59.81014486996385
8,0.5333333333333333,62.131126159292066
9,0.6,64.03641523215343
10,0.6666666666666666,65.62936079792107
11,0.7333333333333333,66.98938776997568
12,0.8,68.17666328341267
13,0.8666666666666667,69.23638230514118
14,0.9333333333333333,70.20056950555642
15,1.0,71.08930384456376
