,xaxis,yaxis
0,0.0,59.28201824540504
1,0.06666666666666667,58.04931074883238
2,0.13333333333333333,53.701433342935104
3,0.2,47.94173728910185
4,0.26666666666666666,41.09002138290264
5,0.3333333333333333,34.60600686070862
6,0.4,28.507561475769805
7,0.4666666666666667,22.73950854308805
8,0.5333333333333333,17.438625339309937
9,0.6,12.898162980970099
10,0.6666666666666666,9.13221585520462
11,0.7333333333333333,5.94281659787616
12,0.8,2.1969136807561114
13,0.8666666666666667,0.3739523299103382
14,0.9333333333333333,0.3738236473849099
15,1.0,0.3738236473849099
