,xaxis,yaxis
0,0.0,0.21844606734457273
1,0.5,-0.09581303866022495
2,1.0,12.57883118990462
3,1.5,33.55572067818119
4,2.0,46.319750734688
5,2.5,53.61288808880093
6,3.0,58.18556466883607
7,3.5,61.30618588022355
8,4.0,63.60863820165234
9,4.5,65.4253364865035
10,5.0,66.94040404996576
11,5.5,68.26157029546428
12,6.0,69.45594032901425
